Epoch,Train_Loss,Val_Loss
1,6.543990612030029,5.875797271728516
2,5.732099109225803,5.805115222930908
3,5.650936974419488,5.683820883433024
4,5.539870262145996,5.549572308858235
5,5.449938774108887,5.489148139953613
6,5.49617534213596,5.571058591206868
7,5.459125730726454,5.506031036376953
8,5.4556193351745605,5.488207976023356
9,5.4652688768174915,5.501119613647461
10,5.464202245076497,5.5930836995442705
11,5.458019786410862,5.472711404164632
12,5.468415631188287,5.491006533304851
13,5.435326523251003,5.539741198221843
14,5.5003228187561035,5.4732364018758135
15,5.504608154296875,5.526983896891276
16,5.481496281094021,5.531952857971191
17,5.452454725901286,5.554460366566976
18,5.442253483666314,5.496619860331218
19,5.45859342151218,5.4557803471883135
20,5.472441302405463,5.535656929016113
21,5.465561336941189,5.502546628316243
22,5.436890920003255,5.513138612111409
23,5.436236540476481,5.495880285898845
24,5.439491430918376,5.497323513031006
25,5.476184368133545,5.512762069702148
26,5.43980794482761,5.4974870681762695
27,5.438161320156521,5.483757019042969
28,5.457899305555555,5.525648434956868
29,5.498202482859294,5.5232265790303545
30,5.5095499356587725,5.518931070963542
31,5.417315271165636,5.522749741872151
32,5.453946484459771,5.479386965433757
33,5.441965103149414,5.47439448038737
34,5.4885993003845215,5.491977055867513
35,5.436460812886556,5.559638023376465
36,5.442766613430447,5.508904139200847
37,5.512852880689833,5.504034519195557
38,5.427619563208686,5.441779454549153
39,5.486860911051433,5.558865388234456
40,5.493722279866536,5.422453085581462
41,5.4989808400472,5.5997687975565595
42,5.450538900163439,5.491153081258138
43,5.455307218763563,5.460465749104817
44,5.410976145002577,5.475967566172282
45,5.435114118787977,5.544890562693278
46,5.451765961117214,5.489184856414795
47,5.407157897949219,5.490405877431233
48,5.438593758477105,5.462782859802246
49,5.442716015709771,5.504549026489258
50,5.443708684709337,5.468719641367595
